state,date,positive,probableCases,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,Rank,Population,Latitude,Longitude,increase_x,pct_trend_adjusted,increase_y
NV,03 March,224.37037037037038,0.0,2578.962962962963,6.074074074074074,5170.888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.037037037037036,0.0,2884.777777777778,0.0,0.0,224.37037037037038,0.0,0.0,5170.888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,41.18518518518518,395.0740740740741,2809.4074074074074,547.925925925926,2803.3333333333335,1.3703703703703705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2839098.0,38.313515000000024,-117.05537400000001,148.14814814814815,41.001600322580636,
NY,03 March,15239.133333333333,0.0,33714.13333333333,17.333333333333332,48953.26666666667,2133.8333333333335,2888.0666666666666,390.9,0.0,0.0,0.0,584.0666666666667,206.93333333333334,2888.0666666666666,0.0,0.0,0.0,15239.133333333333,0.0,0.0,48953.26666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2526.5,4314.6,48970.6,6841.1,48953.26666666667,51.666666666666664,569.5,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19746227.0,42.16572599999997,-74.94805100000002,15014.762962962963,,
OH,03 March,447.14814814814815,0.0,5240.2962962962965,42.18518518518518,5687.444444444444,0.0,106.5925925925926,0.0,33.148148148148145,0.0,0.0,0.0,7.888888888888889,106.5925925925926,0.0,0.0,0.0,447.14814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,81.44444444444444,999.4444444444445,5729.62962962963,1080.888888888889,5687.444444444444,2.037037037037037,21.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11594163.0,40.388783000000004,-82.764915,-14791.985185185185,46.30849894736842,
OK,03 March,122.72,0.0,496.04,52.68,618.76,0.0,36.28,7.44,0.0,0.0,0.0,0.0,4.04,36.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,22.56,49.16,671.44,71.72,618.76,0.92,7.08,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3878051.0,35.565341999999994,-96.928917,-324.4281481481481,60.27315354838711,
OR,03 March,160.85714285714286,0.0,3097.8571428571427,105.85714285714286,3258.714285714286,20.321428571428573,34.035714285714285,0.0,0.0,6.357142857142857,0.0,0.0,4.285714285714286,34.035714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,24.535714285714285,468.10714285714283,3364.5714285714284,492.64285714285717,3258.714285714286,0.6428571428571429,5.5,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3970239.0,44.57202099999997,-122.07093799999994,38.13714285714286,,
PA,03 March,901.2692307692307,0.0,7962.576923076923,23.0,8863.846153846154,0.0,69.61538461538461,0.0,0.0,0.0,0.0,0.0,9.73076923076923,69.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8862.538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,186.19230769230768,1447.8846153846155,8886.846153846154,1634.076923076923,8863.846153846154,2.423076923076923,19.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,39.0,12787209.0,40.59075199999998,-77.20975500000003,740.4120879120878,44.401018387096784,
RI,03 March,104.83870967741936,0.0,1016.4516129032259,88.93548387096774,1028.1935483870968,7.419354838709677,0.0,1.7419354838709677,0.0,1.1612903225806452,0.0,1.1290322580645162,0.4838709677419355,0.0,1178.3225806451612,109.6774193548387,1068.6451612903227,104.83870967741936,0.0,0.0,1028.1935483870968,1121.2903225806451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,18.258064516129032,114.25806451612904,1210.225806451613,125.70967741935483,1121.2903225806451,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1055173.0,41.680892999999976,-71.51178,-796.4305210918113,,
SC,03 March,212.25,0.0,1084.2142857142858,0.0,1296.4642857142858,0.0,25.5,0.0,0.0,0.0,0.0,0.0,4.035714285714286,25.5,0.0,0.0,0.0,212.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,38.67857142857143,164.67857142857142,1296.4642857142858,203.35714285714286,1296.4642857142858,0.7857142857142857,3.642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4832482.0,33.85689200000001,-80.945007,107.41129032258064,,
SD,03 March,28.08,0.0,977.04,102.6,1005.12,0.0,0.48,0.0,0.0,0.0,0.0,6.8,0.56,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.32,144.16,1107.72,148.48,1005.12,0.04,0.48,0.0,0.0,0.0,0.0,0.0,0.0,43.0,853175.0,44.29978200000002,-99.438828,-184.17000000000002,,
TN,03 March,475.1111111111111,0.0,5376.7037037037035,0.0,5851.814814814815,0.3333333333333333,29.85185185185185,0.0,0.0,0.0,0.0,4.481481481481482,2.4074074074074074,29.85185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,82.88888888888889,930.4074074074074,5851.814814814815,1013.2962962962963,5851.814814814815,0.8518518518518519,6.481481481481482,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6549352.0,35.74784499999999,-86.69234499999995,447.0311111111111,55.55780419354839,
TX,03 March,608.1071428571429,0.0,7823.25,0.0,8431.357142857143,7.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,8.107142857142858,0.0,0.0,0.0,0.0,608.1071428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,116.60714285714286,1418.7857142857142,8431.357142857143,1535.392857142857,8431.357142857143,1.4642857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,26956958.0,31.054486999999998,-97.56346100000003,132.9960317460318,48.30844935483871,
UT,03 March,220.36,0.0,5232.8,0.0,5579.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.8,2.92,5579.0,283.16,5295.84,220.36,0.0,0.0,0.0,5499.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,35.44,820.44,5453.16,876.56,5453.16,0.2,2.92,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2942902.0,40.150032,-111.86243400000006,-387.7471428571429,50.073918709677415,
VA,03 March,219.8709677419355,0.0,2572.451612903226,1.1290322580645162,9425.41935483871,0.0,23.64516129032258,0.0,0.0,0.0,0.0,0.0,4.935483870967742,23.64516129032258,0.0,2393.483870967742,0.0,0.0,0.0,0.0,9425.41935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,40.32258064516129,391.96774193548384,2793.451612903226,482.1290322580645,2792.3225806451615,0.8709677419354839,4.387096774193548,0.0,0.0,0.0,0.0,0.0,0.0,48.0,8326289.0,37.76933699999997,-78.16996800000001,-0.4890322580645261,42.21270806451613,
